City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Initao,8.5,124.3,82.0,82,100,4.0,PH,2020-11-06 03:03:51
117,Liku,-0.73,119.89,87.98,56,100,3.15,ID,2020-11-06 03:03:51
118,Beloha,-25.17,45.05,69.76,77,100,1.45,MG,2020-11-06 03:03:51
119,Castro,-24.79,-50.01,50.0,96,0,6.06,BR,2020-11-06 02:59:05
120,Gerash,27.67,54.14,48.2,45,0,3.65,IR,2020-11-06 03:03:51
121,Piopio,-38.47,175.02,75.99,58,74,4.0,NZ,2020-11-06 03:03:51
122,Tonota,-21.48,27.48,66.96,84,0,7.99,BW,2020-11-06 03:03:51
123,Mineiros,-17.57,-52.55,70.92,46,15,0.96,BR,2020-11-06 03:03:19
124,Teknaf,20.86,92.31,80.74,71,2,3.98,BD,2020-11-06 03:03:52
125,Port Blair,11.67,92.75,84.02,70,8,9.95,IN,2020-11-06 03:03:52
126,Arraial Do Cabo,-22.97,-42.03,67.46,84,75,9.15,BR,2020-11-06 03:00:14
127,Saint Peter,13.25,-59.62,80.6,83,40,18.34,BB,2020-11-06 03:03:52
128,Baculin,7.45,126.58,86.41,65,100,8.9,PH,2020-11-06 03:03:52
129,Waingapu,-9.66,120.26,89.28,48,0,9.66,ID,2020-11-06 03:03:52
130,Kibre Mengist,5.88,38.98,58.78,96,77,0.89,ET,2020-11-06 03:03:53
131,Svetlogorsk,52.63,29.73,43.68,84,100,14.0,BY,2020-11-06 03:03:53
132,Dongobesh,-4.07,35.38,56.79,94,58,8.81,TZ,2020-11-06 03:03:53
133,Madikeri,12.42,75.73,77.0,88,75,3.36,IN,2020-11-06 03:03:53
134,Arosa,46.78,9.68,37.99,100,40,1.12,CH,2020-11-06 03:03:53
135,Mitsamiouli,-11.38,43.28,77.97,76,59,10.92,KM,2020-11-06 03:03:53
136,Pontianak,-0.03,109.33,89.13,63,100,0.18,ID,2020-11-06 02:59:03
137,Pacific Grove,36.62,-121.92,63.0,82,1,4.41,US,2020-11-06 03:03:53
138,Aden,12.78,45.04,79.23,68,35,15.26,YE,2020-11-06 03:03:54
139,Katsuura,35.13,140.3,64.99,59,75,5.82,JP,2020-11-06 03:03:54
